,영화제목,개봉일,장르,누적관객수
0,겨울왕국 (Frozen),2014-01-16,애니메이션,10298743
1,범죄도시 (THE OUTLAWS),2017-10-03,범죄,6880546
2,신과함께-죄와 벌 (Along with the Gods: The Two Worlds),2017-12-20,판타지,14411775
3,극한직업 (Extreme Job),2019-01-23,코미디,16265618
4,베테랑 (Veteran),2015-08-05,액션,13414484
5,곡성 (THE WAILING),2016-05-12,미스터리,6879989
6,신세계 (New World),2013-02-21,범죄,4684571
7,보스 베이비 (The Boss Baby),2017-05-03,애니메이션,2452245
8,관상 (The Face Reader),2013-09-11,사극,9135806
9,후궁 : 제왕의 첩 (The Concubine),2012-06-06,사극,2636385
10,도둑들 (The Thieves),2012-07-25,액션,12984692
11,럭키 (LUCK-KEY),2016-10-13,코미디,6975631
12,어벤져스: 인피니티 워 (Avengers: Infinity War),2018-04-25,액션,11212710
13,암살 (Assassination),2015-07-22,액션,12706819
14,"광해, 왕이 된 남자 (Masquerade)",2012-09-13,사극,12324062
15,7번방의 선물 (Miracle in Cell No.7),2013-01-23,코미디,12811624
16,검사외전 (A Violent Prosecutor),2016-02-03,범죄,9707581
17,명량 (Roaring Currents),2014-07-30,사극,17615658
18,신과함께-인과 연 (Along with the Gods: The Last 49 Days),2018-08-01,판타지,12276350
19,마녀 (The Witch : Part 1. The Subversion),2018-06-27,미스터리,3189091
20,부산행 (TRAIN TO BUSAN),2016-07-20,액션,11567662
21,어벤져스 (The Avengers),2012-04-26,액션,7075607
22,쥬라기 월드 (Jurassic World),2015-06-11,액션,5546823
23,범죄와의 전쟁: 나쁜놈들 전성시대 (Nameless Gangster : Rules of the Time),2012-02-02,범죄,4720050
24,수상한 그녀 (Miss Granny),2014-01-22,드라마,8660623
25,공조 (Confidential Assignment),2017-01-18,액션,7817654
26,모아나 (Moana ),2017-01-12,애니메이션,2310206
27,킹스맨 : 시크릿 에이전트 (Kingsman: The Secret Service),2015-02-11,액션,6129681
28,친구 2 (Friend : The Great Legacy),2013-11-14,액션,2971475
29,택시운전사 (A Taxi Driver),2017-08-02,드라마,12189654
30,완벽한 타인 (Intimate Strangers),2018-10-31,드라마,5294154
31,국제시장 (Ode to My Father),2014-12-17,드라마,14263578
32,청년경찰 (Midnight Runners),2017-08-09,액션,5653444
33,내부자들: 디 오리지널 (Inside Men: The Original),2015-12-31,범죄,2084909
34,주토피아 (Zootopia),2016-02-17,애니메이션,4706158
35,독전 (Believer),2018-05-22,범죄,5063844
36,간신 (The Treacherous),2015-05-21,사극,1110274
37,"악인전 (The Gangster, The Cop, The Devil)",2019-05-15,범죄,3364712
38,성난황소 (Unstoppable),2018-11-22,범죄,1593386
39,미니언즈 (Minions),2015-07-29,애니메이션,2625636
40,아가씨 (The Handmaiden),2016-06-01,스릴러,4288908
41,강철비 (Steel Rain),2017-12-14,액션,4452850
42,변호인 (The Attorney),2013-12-18,드라마,11375123
43,점박이:한반도의 공룡3D (Speckles: The Tarbosaurus),2012-01-26,애니메이션,1051710
44,건축학개론 (Architecture 101),2012-03-22,멜로/로맨스,4113696
45,1987 (1987: When the Day Comes),2017-12-27,드라마,7232387
46,데드풀 (Deadpool),2016-02-17,액션,3317196
47,해적: 바다로 간 산적 (The Pirates ),2014-08-06,어드벤처,8666208
48,꾼 (The Swindlers),2017-11-22,범죄,4018341
49,프리즌 (The Prison),2017-03-23,범죄,2931897
50,더 킹 (The King ),2017-01-18,범죄,5317959
51,뽀로로 극장판 컴퓨터 왕국 대모험 (Pororo3 :  Cyber Space Adventure),2015-12-10,애니메이션,446054
52,닥터 스트레인지 (Doctor Strange),2016-10-26,액션,5447269
53,기생충 (PARASITE),2019-05-30,드라마,10085098
54,쥬라기 월드: 폴른 킹덤 (JURASSIC WORLD: FALLEN KINGDOM),2018-06-06,액션,5661128
55,아수라 (Asura : The City of Madness),2016-09-28,범죄,2594695
56,암수살인 (Dark Figure of Crime),2018-10-03,범죄,3789553
57,연평해전 (Northern Limit Line),2015-06-24,드라마,6044956
58,박수건달 (Man on the Edge),2013-01-09,코미디,3897969
59,안시성 (The Great Battle),2018-09-19,사극,5441020
60,타짜-신의 손 (Tazza-The Hidden Card),2014-09-03,드라마,4015361
61,사도 (The Throne),2015-09-16,사극,6247651
62,킹스맨: 골든 서클 (Kingsman: The Golden Circle),2017-09-27,액션,4945484
63,베를린 (The Berlin File),2013-01-30,액션,7166688
64,토르: 라그나로크 (THOR: RAGNAROK),2017-10-25,액션,4858572
65,블랙 팬서 (Black Panther),2018-02-14,액션,5399327
66,스파이더맨: 홈 커밍 (Spider-Man: Homecoming),2017-07-05,액션,7258678
67,은교 (Eungyo),2012-04-25,멜로/로맨스,1346511
68,미이라 (The Mummy),2017-06-06,액션,3689325
69,신의 한 수 (The Divine Move),2014-07-03,범죄,3566852
70,터널 (Tunnel),2016-08-10,드라마,7120780
71,코코 (COCO),2018-01-11,애니메이션,3513114
72,내 아내의 모든 것 (All About My Wife),2012-05-17,코미디,4598985
73,그것만이 내 세상 (Keys to the Heart),2018-01-17,코미디,3420116
74,극비수사 (The Classified File),2015-06-18,드라마,2860786
75,마스터 (Master),2016-12-21,액션,7150586
